"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","MACRO.OM.AREA.g.m2","MACRO.ASH.AREA.g.m2"
"LTREB","44061","GC","5","COBBLE","40",NA,NA
"LTREB","44061","WS","1","PEBBLE","36",NA,NA
"LTREB","44061","WS","2","COBBLE","29.25",NA,NA
"LTREB","44061","WS","3","COBBLE","35.5",NA,NA
"LTREB","44061","WS","4","COBBLE","30.25",NA,NA
"LTREB","44061","WS","5","PEBBLE","28.25",NA,NA
"LTREB","44075","WS","1","COBBLE","31",NA,NA
"LTREB","44075","WS","2","COBBLE","27",NA,NA
"LTREB","44075","WS","3","COBBLE","24.25",NA,NA
"LTREB","44075","WS","4","COBBLE","27.25",NA,NA
"LTREB","44075","WS","5","COBBLE","30.5",NA,NA
"LTREB","44075","CR","1","COBBLE","13",NA,NA
"LTREB","44075","CR","2","COBBLE","25.5",NA,NA
"LTREB","44075","CR","3","COBBLE","24",NA,NA
"LTREB","44075","CR","4","COBBLE","21",NA,NA
"LTREB","44075","CR","5","COBBLE","31.75",NA,NA
"LTREB","44075","GC","1","COBBLE","31.75",NA,NA
"LTREB","44075","GC","2","COBBLE","22",NA,NA
"LTREB","44075","GC","3","COBBLE","24.25",NA,NA
"LTREB","44075","GC","4","COBBLE","36.25",NA,NA
"LTREB","44075","GC","5","COBBLE","35",NA,NA
"LTREB","44075","BG","1","COBBLE","21",NA,NA
"LTREB","44075","BG","2","COBBLE","33.75",NA,NA
"LTREB","44075","BG","3","COBBLE","28.5",NA,NA
"LTREB","44075","BG","4","COBBLE","34",NA,NA
"LTREB","44075","BG","5","COBBLE","29.75",NA,NA
"LTREB","44103","WS","2","COBBLE","32.5",NA,NA
"LTREB","44103","WS","3","COBBLE","23.5",NA,NA
"LTREB","44103","WS","4","COBBLE","29.5",NA,NA
"LTREB","44103","WS","5","COBBLE","16.75",NA,NA
"LTREB","44103","CR","1","COBBLE","20",NA,NA
"LTREB","44103","CR","2","COBBLE","24.5",NA,NA
"LTREB","44103","CR","3","COBBLE","33.75",NA,NA
"LTREB","44103","CR","4","COBBLE","28",NA,NA
"LTREB","44103","CR","5","COBBLE","28.5",NA,NA
"LTREB","44103","GC","1","COBBLE","33.5",NA,NA
"LTREB","44103","GC","2","COBBLE","20.5",NA,NA
"LTREB","44103","GC","3","COBBLE","20.5",NA,NA
"LTREB","44103","GC","4","COBBLE","23.75",NA,NA
"LTREB","44103","GC","5","COBBLE","19",NA,NA
"LTREB","44103","BG","1","COBBLE","17.5",NA,NA
"LTREB","44103","BG","2","COBBLE","24.75",NA,NA
"LTREB","44103","BG","3","COBBLE","31.5",NA,NA
"LTREB","44103","BG","4","COBBLE","34.75",NA,NA
